municipality_code,county_code,municipality_name,county_name
0301,03,Oslo,Oslo
1101,11,Eigersund,Rogaland
1103,11,Stavanger,Rogaland
1106,11,Haugesund,Rogaland
1108,11,Sandnes,Rogaland
1111,11,Sokndal,Rogaland
1112,11,Lund,Rogaland
1114,11,Bjerkreim,Rogaland
1119,11,Hå,Rogaland
1120,11,Klepp,Rogaland
1121,11,Time,Rogaland
1122,11,Gjesdal,Rogaland
1124,11,Sola,Rogaland
1127,11,Randaberg,Rogaland
1130,11,Strand,Rogaland
1133,11,Hjelmeland,Rogaland
1134,11,Suldal,Rogaland
1135,11,Sauda,Rogaland
1144,11,Kvitsøy,Rogaland
1145,11,Bokn,Rogaland
1146,11,Tysvær,Rogaland
1149,11,Karmøy,Rogaland
1151,11,Utsira,Rogaland
1160,11,Vindafjord,Rogaland
1505,15,Kristiansund,Møre og Romsdal
1506,15,Molde,Møre og Romsdal
1508,15,Ålesund,Møre og Romsdal
1511,15,Vanylven,Møre og Romsdal
1514,15,Sande,Møre og Romsdal
1515,15,Herøy,Møre og Romsdal
1516,15,Ulstein,Møre og Romsdal
1517,15,Hareid,Møre og Romsdal
1520,15,Ørsta,Møre og Romsdal
1525,15,Stranda,Møre og Romsdal
1528,15,Sykkylven,Møre og Romsdal
1531,15,Sula,Møre og Romsdal
1532,15,Giske,Møre og Romsdal
1535,15,Vestnes,Møre og Romsdal
1539,15,Rauma,Møre og Romsdal
1547,15,Aukra,Møre og Romsdal
1554,15,Averøy,Møre og Romsdal
1557,15,Gjemnes,Møre og Romsdal
1560,15,Tingvoll,Møre og Romsdal
1563,15,Sunndal,Møre og Romsdal
1566,15,Surnadal,Møre og Romsdal
1573,15,Smøla,Møre og Romsdal
1576,15,Aure,Møre og Romsdal
1577,15,Volda,Møre og Romsdal
1578,15,Fjord,Møre og Romsdal
1579,15,Hustadvika,Møre og Romsdal
1580,15,Haram,Møre og Romsdal
1804,18,Bodø,Nordland
1806,18,Narvik,Nordland
1811,18,Bindal,Nordland
1812,18,Sømna,Nordland
1813,18,Brønnøy,Nordland
1815,18,Vega,Nordland
1816,18,Vevelstad,Nordland
1818,18,Herøy,Nordland
1820,18,Alstahaug,Nordland
1822,18,Leirfjord,Nordland
1824,18,Vefsn,Nordland
1825,18,Grane,Nordland
1826,18,Hattfjelldal,Nordland
1827,18,Dønna,Nordland
1828,18,Nesna,Nordland
1832,18,Hemnes,Nordland
1833,18,Rana,Nordland
1834,18,Lurøy,Nordland
1835,18,Træna,Nordland
1836,18,Rødøy,Nordland
1837,18,Meløy,Nordland
1838,18,Gildeskål,Nordland
1839,18,Beiarn,Nordland
1840,18,Saltdal,Nordland
1841,18,Fauske,Nordland
1845,18,Sørfold,Nordland
1848,18,Steigen,Nordland
1851,18,Lødingen,Nordland
1853,18,Evenes,Nordland
1856,18,Røst,Nordland
1857,18,Værøy,Nordland
1859,18,Flakstad,Nordland
1860,18,Vestvågøy,Nordland
1865,18,Vågan,Nordland
1866,18,Hadsel,Nordland
1867,18,Bø,Nordland
1868,18,Øksnes,Nordland
1870,18,Sortland,Nordland
1871,18,Andøy,Nordland
1874,18,Moskenes,Nordland
1875,18,Hamarøy,Nordland
3101,31,Halden,Østfold
3103,31,Moss,Østfold
3105,31,Sarpsborg,Østfold
3107,31,Fredrikstad,Østfold
3110,31,Hvaler,Østfold
3112,31,Råde,Østfold
3114,31,Våler,Østfold
3116,31,Skiptvet,Østfold
3118,31,Indre Østfold,Østfold
3120,31,Rakkestad,Østfold
3122,31,Marker,Østfold
3124,31,Aremark,Østfold
3201,32,Bærum,Akershus
3203,32,Asker,Akershus
3205,32,Lillestrøm,Akershus
3207,32,Nordre Follo,Akershus
3209,32,Ullensaker,Akershus
3212,32,Nesodden,Akershus
3214,32,Frogn,Akershus
3216,32,Vestby,Akershus
3218,32,Ås,Akershus
3220,32,Enebakk,Akershus
3222,32,Lørenskog,Akershus
3224,32,Rælingen,Akershus
3226,32,Aurskog-Høland,Akershus
3228,32,Nes,Akershus
3230,32,Gjerdrum,Akershus
3232,32,Nittedal,Akershus
3234,32,Lunner,Akershus
3236,32,Jevnaker,Akershus
3238,32,Nannestad,Akershus
3240,32,Eidsvoll,Akershus
3242,32,Hurdal,Akershus
3301,33,Drammen,Buskerud
3303,33,Kongsberg,Buskerud
3305,33,Ringerike,Buskerud
3310,33,Hole,Buskerud
3312,33,Lier,Buskerud
3314,33,Øvre Eiker,Buskerud
3316,33,Modum,Buskerud
3318,33,Krødsherad,Buskerud
3320,33,Flå,Buskerud
3322,33,Nesbyen,Buskerud
3324,33,Gol,Buskerud
3326,33,Hemsedal,Buskerud
3328,33,Ål,Buskerud
3330,33,Hol,Buskerud
3332,33,Sigdal,Buskerud
3334,33,Flesberg,Buskerud
3336,33,Rollag,Buskerud
3338,33,Nore og Uvdal,Buskerud
3401,34,Kongsvinger,Innlandet
3403,34,Hamar,Innlandet
3405,34,Lillehammer,Innlandet
3407,34,Gjøvik,Innlandet
3411,34,Ringsaker,Innlandet
3412,34,Løten,Innlandet
3413,34,Stange,Innlandet
3414,34,Nord-Odal,Innlandet
3415,34,Sør-Odal,Innlandet
3416,34,Eidskog,Innlandet
